skill_name,value_score,verdict,reason,baseline_chars,skilled_chars,test_question
hunting-for-scheduled-task-persistence,72,high_value,"B adds specific Event IDs (106, 129, 4688), exact registry paths, concrete tool names (Invoke-Obfuscation decoder, CrowdStrike Falcon query syntax), and a structured timeline-based correlation workflow that A lacked; these are load-bearing forensic details that materially improve investigative precision.",2026,1891,I'm seeing multiple scheduled tasks created on WORKSTATION-042 between 2:00 and 3:30 AM last Tuesday with actions pointing to obfuscated Pow
performing-active-directory-compromise-investigation,72,high_value,"B adds specific event IDs (4662, 4742), exact DN paths for repadmin queries, structured PowerShell hashtable syntax for log filtering, and explicit time-window correlation logic (±5 minutes) that A omitted; these are load-bearing forensic details for AD compromise investigation.",2006,1824,I'm seeing unusual replication traffic from DC-PROD-02 to DC-PROD-01 at 2:47 AM last night with a large volume of changes to the Domain Admi
performing-cloud-log-forensics-with-athena,72,high_value,"B adds critical Athena-specific syntax (json_extract_scalar, timestamp partition filtering, cloud_forensics schema), proper CloudTrail field names (lowercase, correct nesting), and the key forensic detail of extracting assumedRoleId to track subsequent sessions—concrete details A lacked that materially improve query accuracy and execution.",1790,1824,I'm investigating suspicious activity on our production account between 2024-01-15 14:30 UTC and 16:45 UTC where an IAM user named dev-jenki
performing-malware-triage-with-yara,72,high_value,"B adds concrete YARA syntax (pe module imports, hex byte patterns, regex for C2 detection, registry paths, severity/TLP metadata, incident ID tagging) and a structured triage workflow with specific commands (pefile, hash extraction, strings comparison packed vs unpacked) that A only mentioned generically; B is materially more actionable for immediate rule deployment.",1732,1802,"I've got a suspicious executable dropped on WORKSTATION-07 at 14:32 UTC that's packed with UPX and contains multiple obfuscated strings, can"
performing-memory-forensics-with-volatility3,72,high_value,"B adds concrete output format examples, filtering techniques (grep ESTABLISHED), explicit baseline of legitimate vs suspicious processes, and a structured 3-step workflow with real command syntax that A lacks; A is more generic and less immediately actionable.",1936,2009,"I captured a memory dump from a Windows server that was showing suspicious network activity yesterday around 14:30 UTC, and I need to identi"
analyzing-bootkit-and-rootkit-samples,78,high_value,"B provides concrete hex signatures (Windows 10 MBR bytecode, TDL4/Alureon patterns), executable Python parsing code for partition table analysis, specific byte offsets, and bootkit-specific detection logic that A lacked; A was generic while B is immediately actionable for this exact threat class.",2027,1473,"I found suspicious code in the MBR of a Windows 10 machine (WORKSTATION-07) that doesn't match the standard boot signature, and the system i"
analyzing-linux-system-artifacts,78,high_value,"B adds concrete forensic workflows: lastcomm for process accounting (which lacks timestamps in bash_history), Python pattern-matching for persistence/recon/lateral-movement detection, structured case file organization, and explicit correlation methodology between auth.log timestamps and post-compromise activity that A omitted.",1656,1821,I found suspicious entries in /var/log/auth.log on webserver-prod-01 showing multiple failed SSH attempts followed by a successful login fro
building-incident-timeline-with-timesketch,78,high_value,"B provides concrete tool names (Plaso, log2timeline, Timesketch), exact parser flags (winevtx, prefetch, shimcache, amcache), specific command syntax, and a structured workflow that A only mentioned generically; A lacked the actionable step-by-step commands and parser selection needed to execute immediately.",2059,1856,"I've got event logs from three different systems (web-server-01, db-server-02, and workstation-03) that span from 2024-01-15 08:00 UTC to 20"
conducting-malware-incident-response,78,high_value,"B adds concrete EDR commands (CrowdStrike 'Contain Host', Defender 'Isolate Device'), specific process tree interrogation steps, beacon pattern analysis (periodic vs protocol), and a structured malware family comparison table with DLL paths and persistence mechanisms that A lacked.",1991,2018,"I'm seeing suspicious rundll32.exe processes spawning from a temp folder on WORKSTATION-042 starting at 14:32 UTC today, and the endpoint is"
detecting-evasion-techniques-in-endpoint-logs,78,high_value,"B adds specific Event IDs (104, 1102), exact PowerShell query syntax with FilterXPath parameters, Sysmon Event ID 1 filtering for wevtutil/Clear-EventLog commands, and concrete Splunk queries that A lacked; these are load-bearing forensic details an analyst would immediately use.",1880,1877,"I'm seeing suspicious modifications to the Windows Event Log on WORKSTATION-07 around 03:45 UTC yesterday, and the Security event log has a "
detecting-kerberoasting-attacks,78,high_value,"B adds specific encryption type indicators (0x17 RC4 vs 0x12 AES), named attack tools (Rubeus, GetUserSPNs, Mimikatz), concrete volume thresholds (>10 TGS-REQ), and immediate containment actions (isolate, reset password) that A lacked, making it materially more actionable for incident response.",2089,1962,"I'm seeing a spike in TGS-REQ events on our domain controller for the MSSQL service account between 2:30 AM and 3:15 AM last night, with req"
detecting-process-hollowing-technique,78,high_value,"B adds specific Sysmon Event IDs (25 for ProcessTampering, 8 for CreateRemoteThread), named forensic tools (pe-sieve, Hollows Hunter), specific API calls (NtUnmapViewOfSection, WriteProcessMemory), and the CREATE_SUSPENDED flag — concrete artifacts A lacked that directly enable confirmation from EDR logs.",2154,1947,"I'm seeing a svchost.exe process spawned by explorer.exe with a memory base address that doesn't match the legitimate Windows system path, a"
detecting-s3-data-exfiltration-attempts,78,high_value,"B adds concrete AWS CLI commands (update-assume-role-policy, guardduty get-findings, CloudTrail Logs Insights queries with specific field filters), exact GuardDuty finding type names, and a prioritized 15-minute isolation workflow that A lacked; A's guidance was sound but generic.",2142,1781,"I'm seeing a spike in GetObject calls to our production S3 bucket ""customer-data-prod"" between 2 AM and 4 AM UTC on March 15th from an IAM r"
extracting-credentials-from-memory-dump,78,high_value,"B provides exact Volatility 3 syntax (vol vs volatility), correct plugin names (windows.info, windows.pslist, windows.hashdump), actual command output examples, and a clearer execution priority; A uses outdated Volatility 2 syntax and less precise plugin ordering.",1909,1580,"I have a memory dump from a Windows server that went down unexpectedly yesterday, and I need to extract any cached credentials and Kerberos "
hunting-for-cobalt-strike-beacons,78,high_value,"B adds specific Cobalt Strike indicators (default cert serial 8bb00ee, JA3S fingerprints, RITA beacon scoring, Suricata rule syntax) and concrete Zeek query syntax that A lacked, making it materially more actionable for this exact threat.",1884,1782,"I'm seeing multiple outbound HTTPS connections from WORKSTATION-042 to 185.220.101.45 on port 8443 with a certificate serial of 8BB00EE, and"
hunting-for-dcsync-attacks,78,high_value,"B adds specific technical details: exact GUID for DS-Replication-Get-Changes, AccessMask value 0x100, PowerShell cmdlets (Disable-ADAccount, Set-ADAccountPassword), Event 4662 SubjectClientAddress field extraction, krbtgt reset procedure, and concrete hunt indicators (Event 4688 for Mimikatz/secretsdump.py) that A lacked.",2012,2040,I'm seeing multiple Event ID 4662 entries on our domain controller DC01 from a user account CORP\svc_backup between 2:15 AM and 2:45 AM this
hunting-for-persistence-mechanisms-in-windows,78,high_value,"B adds MITRE technique codes (T1546.003, T1546.015, T1546.012, T1546.010, T1547.004), specific Event ID 4697 for service auditing, executable PowerShell commands with filtering logic, and a prioritized hunt workflow that A's generic list lacks.",1950,1895,"I found suspicious scheduled tasks on WORKSTATION-042 that were created at 2024-01-15 03:47 UTC with SYSTEM privileges, but I'm not seeing a"
intact-azure-cloud-investigation,78,high_value,"B provides specific Azure log field names (ipAddress, riskLevelDuringSignIn, authenticationDetails[], deviceDetail), exact audit operations (Update user, Add app role assignment), structured correlation workflow, and a concrete KQL-style query skeleton that A lacked; A was generic and conceptual by comparison.",2071,1990,I'm investigating suspicious sign-in activity for user alice@contoso.onmicrosoft.com on 2024-01-15 around 14:30 UTC from an impossible trave
intact-investigating-azure-account-compromise,78,high_value,"B adds specific Azure cmdlets (Revoke-AzureADUserAllRefreshToken, Get-AzureADUserOwnedObject, Get-AzureADApplicationPasswordCredential), exact log field names (authenticationRequirement, mfaDetail.authMethod, conditionalAccessStatus), and a critical MFA-bypass detection step that A omitted entirely.",2081,2089,I'm seeing multiple failed sign-in attempts to user alice@contoso.com from impossible travel locations between 2024-01-15 14:00 and 15:30 UT
performing-cloud-forensics-investigation,78,high_value,"B provides executable AWS CLI commands with specific jq filters, case directory structure, and a prioritized containment workflow (disable keys, capture sessions) that A omitted; A lists artifacts conceptually but B operationalizes the investigation with concrete syntax and sequencing.",2165,1838,I found suspicious API calls in our AWS CloudTrail logs from the production account between 2024-01-15 14:30 UTC and 16:45 UTC showing multi
performing-ransomware-response,78,high_value,"B adds specific containment priorities (keep powered on for keys, reset user password immediately, check Event ID 4688 for lateral movement, BitLocker escrow validation), actionable sequencing, and ransomware-specific decision logic that A lacks; A is generic incident response while B is load-bearing ransomware triage.",2195,2169,"We detected BitLocker encryption on all drives of WORKSTATION-042 starting at 14:32 UTC yesterday, and a ransom note appeared on the desktop"
performing-cloud-storage-forensic-acquisition,85,high_value,"B identifies SyncEngineDatabase.db as the critical artifact and provides a specific SQLite query with exact table names (od_ClientFile_Records, od_ClientFile_Versions) and schema fields that A completely omitted, enabling direct timeline reconstruction rather than log parsing.",1986,1996,"I found a OneDrive sync client running on a Windows 10 workstation that was involved in a data exfiltration incident last Tuesday, and I nee"
